,race,age_cat,score_text,v_score_text,priors_count,age_cat,two_year_recid
1,0,1,0,0,0,1,1
2,0,0,0,0,0,0,1
4,1,1,1,0,1,1,1
6,1,1,0,0,0,1,0
7,1,1,0,0,0,1,0
8,0,0,1,0,0,0,1
9,1,1,0,0,0,1,0
10,0,1,0,0,0,1,0
11,1,1,0,0,0,1,1
12,0,1,0,0,1,1,1
14,0,1,1,1,0,1,0
15,1,1,1,0,1,1,1
16,1,1,0,0,1,1,1
17,0,1,1,0,1,1,1
18,0,0,1,1,0,0,1
19,1,1,0,0,0,1,1
20,1,0,0,1,0,0,0
22,1,1,0,0,0,1,0
24,0,1,0,0,1,1,1
25,0,1,1,1,1,1,1
26,0,1,1,1,0,1,1
27,1,1,1,1,1,1,1
28,0,1,1,0,0,1,1
29,1,1,0,0,0,1,0
31,1,1,1,0,0,1,1
32,1,0,0,0,0,0,1
33,0,1,1,1,1,1,1
34,1,1,0,0,0,1,0
35,0,0,1,1,0,0,0
36,0,1,0,0,0,1,0
37,1,1,0,0,0,1,1
38,0,1,0,0,1,1,0
39,0,1,1,0,0,1,1
40,1,1,1,1,1,1,1
41,0,1,1,0,1,1,1
42,1,1,0,0,0,1,0
43,0,1,0,0,0,1,0
44,1,1,0,0,0,1,1
46,0,1,1,1,1,1,0
47,0,0,0,0,0,0,1
49,0,1,0,0,0,1,0
50,1,1,1,0,1,1,0
51,0,1,0,0,1,1,0
52,0,1,1,1,1,1,1
53,1,1,0,0,0,1,1
54,0,0,0,1,0,0,1
55,0,1,1,1,0,1,1
57,0,1,1,0,1,1,1
59,0,1,0,0,0,1,0
62,0,1,0,0,0,1,0
63,0,1,1,0,1,1,1
64,1,1,1,0,0,1,1
65,0,1,0,0,0,1,0
66,0,0,0,0,0,0,1
67,1,0,1,1,0,0,0
68,0,1,0,0,0,1,1
69,0,1,0,0,0,1,0
70,0,1,0,0,0,1,0
71,0,1,1,1,1,1,1
73,0,1,1,1,1,1,1
75,0,0,1,1,0,0,1
76,0,1,0,0,0,1,0
77,0,1,1,1,1,1,1
78,1,1,1,0,1,1,1
80,1,1,1,1,1,1,1
81,1,0,1,1,0,0,0
82,1,1,0,0,0,1,1
83,1,1,0,0,0,1,0
85,0,0,0,1,0,0,1
86,0,1,0,0,0,1,0
87,1,1,0,0,0,1,1
88,1,0,1,1,1,0,1
89,1,1,0,0,0,1,0
90,1,1,1,0,0,1,0
91,1,1,0,0,0,1,0
92,1,1,0,0,0,1,0
93,0,0,1,1,0,0,1
94,1,1,0,0,1,1,1
95,1,1,1,1,0,1,0
96,0,1,1,0,1,1,1
97,0,1,0,0,0,1,0
98,1,1,0,0,0,1,1
99,0,1,1,1,1,1,1
100,0,0,0,1,0,0,1
101,0,1,1,1,1,1,1
102,0,1,1,1,0,1,0
104,1,1,1,1,1,1,1
105,0,1,1,0,0,1,1
106,1,1,1,1,0,1,0
107,0,1,1,1,1,1,1
108,1,1,0,0,1,1,0
109,1,1,0,1,0,1,0
110,1,1,0,0,0,1,0
112,1,1,0,0,0,1,1
113,0,0,0,0,0,0,0
114,1,1,0,0,1,1,1
115,1,1,0,0,0,1,1
116,0,1,1,0,0,1,1
117,1,1,0,0,0,1,1
118,0,1,0,0,0,1,0
119,1,1,0,0,0,1,1
120,0,0,1,1,0,0,0
121,1,1,0,0,0,1,0
122,0,1,1,0,1,1,1
123,0,1,1,1,1,1,1
124,0,1,1,0,1,1,1
125,0,1,0,0,0,1,1
126,0,1,1,1,1,1,1
127,0,1,1,1,0,1,1
128,0,0,1,1,0,0,0
129,1,1,1,0,0,1,0
130,0,1,0,0,0,1,1
133,0,1,1,1,0,1,1
135,0,1,0,0,0,1,1
136,1,1,0,0,0,1,0
137,1,1,1,0,0,1,1
138,0,1,1,1,0,1,0
139,1,1,0,0,0,1,0
140,0,0,0,0,0,0,0
141,1,1,0,0,1,1,1
142,1,1,1,0,0,1,0
143,0,1,0,0,0,1,1
145,0,1,1,0,1,1,0
147,0,1,0,0,1,1,0
149,0,1,1,1,1,1,1
152,1,1,0,0,0,1,1
153,1,1,0,0,0,1,0
155,0,0,1,1,0,0,1
156,0,1,1,0,1,1,1
157,0,0,0,0,0,0,1
159,0,1,0,0,0,1,0
160,1,1,0,0,1,1,1
161,0,1,1,1,0,1,1
162,1,1,0,0,0,1,1
163,0,1,1,1,1,1,1
164,1,1,0,0,0,1,0
165,0,0,0,0,0,0,1
166,0,1,0,0,0,1,0
167,0,0,0,0,0,0,0
169,1,1,0,0,0,1,0
170,1,1,0,0,0,1,0
171,1,1,0,0,0,1,0
172,0,1,1,1,1,1,1
174,0,1,1,1,0,1,1
175,0,1,0,0,0,1,0
176,0,1,1,1,0,1,0
177,1,1,1,1,1,1,1
178,0,1,0,0,0,1,0
179,0,1,1,1,0,1,0
180,1,1,0,0,1,1,1
181,0,1,1,0,1,1,0
182,0,1,1,0,0,1,0
183,1,1,0,0,0,1,1
184,1,1,0,0,0,1,0
186,0,1,0,0,0,1,0
187,1,1,0,0,0,1,1
188,0,1,1,0,0,1,0
189,0,1,1,0,1,1,0
190,0,1,1,1,1,1,1
191,0,1,0,0,0,1,0
193,0,1,1,1,1,1,0
194,0,0,1,1,0,0,0
195,0,1,0,0,0,1,0
196,1,1,0,0,0,1,0
197,1,1,0,0,1,1,1
198,0,1,0,0,0,1,0
199,1,1,0,0,0,1,0
200,0,1,1,0,1,1,1
201,1,1,1,0,0,1,0
202,0,0,0,1,0,0,0
203,0,1,0,0,0,1,0
205,1,1,1,1,0,1,1
206,1,1,0,0,0,1,1
207,0,1,1,1,1,1,0
208,1,1,0,0,0,1,0
209,0,1,1,1,1,1,1
210,1,1,1,0,1,1,1
211,0,1,0,0,0,1,0
212,1,0,1,1,0,0,1
217,1,0,1,1,1,0,1
219,0,1,0,0,0,1,0
220,0,0,1,1,0,0,1
221,0,1,1,1,0,1,1
223,0,1,0,0,0,1,0
224,0,1,0,0,0,1,0
225,0,0,1,1,0,0,0
227,0,1,0,0,0,1,0
228,0,0,0,0,0,0,1
229,0,1,0,0,0,1,0
230,1,1,1,0,0,1,0
231,1,1,1,1,0,1,1
232,0,1,1,1,1,1,1
233,0,0,1,1,0,0,1
234,1,0,0,0,0,0,0
235,0,1,0,0,0,1,0
237,0,1,1,0,0,1,1
238,0,1,0,0,0,1,0
239,1,1,0,0,0,1,0
240,1,1,0,0,0,1,0
241,1,1,0,0,0,1,0
242,0,0,1,1,0,0,1
243,0,1,1,1,0,1,1
245,1,1,0,0,1,1,0
246,0,1,0,0,1,1,0
247,1,0,1,1,0,0,1
248,0,1,0,0,1,1,1
249,0,1,0,0,1,1,1
251,1,1,0,0,0,1,0
252,0,0,1,1,0,0,0
253,0,0,1,1,0,0,1
254,1,1,0,0,0,1,0
255,1,1,0,0,1,1,0
257,0,1,0,0,1,1,0
259,0,1,0,0,0,1,0
260,1,1,0,0,0,1,1
261,1,1,0,0,0,1,1
262,1,1,0,0,0,1,0
264,0,1,0,0,0,1,0
265,0,0,1,1,0,0,1
266,1,1,0,0,0,1,0
267,1,1,0,0,0,1,0
268,0,1,1,1,1,1,0
269,0,0,1,1,0,0,1
270,1,1,1,0,1,1,0
271,0,0,1,1,0,0,1
272,1,1,1,1,1,1,1
273,1,1,0,0,0,1,1
275,0,1,1,1,0,1,0
276,1,1,0,0,0,1,1
278,1,1,1,0,0,1,0
279,0,0,1,1,0,0,1
280,1,1,0,0,0,1,0
281,0,0,0,0,0,0,0
283,0,1,0,0,0,1,0
284,1,1,1,0,0,1,0
286,0,1,1,1,1,1,1
287,0,0,1,1,0,0,0
288,0,1,0,0,0,1,0
289,1,1,0,0,0,1,0
290,0,0,1,1,0,0,1
293,1,0,1,1,0,0,0
294,1,1,0,0,0,1,0
295,1,0,1,1,0,0,0
296,0,1,1,1,1,1,1
297,1,0,0,1,0,0,0
298,0,0,1,1,0,0,1
299,0,1,1,0,0,1,0
300,0,1,0,0,0,1,0
301,1,1,0,0,0,1,0
302,0,0,1,1,0,0,1
305,1,1,0,0,0,1,0
306,0,0,0,1,0,0,0
307,1,0,1,1,0,0,1
308,0,0,1,1,0,0,1
309,0,0,1,1,0,0,1
310,1,1,0,0,0,1,0
311,1,1,0,0,0,1,1
312,1,1,1,1,0,1,1
313,0,1,1,1,1,1,1
314,1,1,0,0,0,1,0
315,0,0,0,0,0,0,0
316,0,1,0,0,0,1,0
317,0,1,0,0,0,1,0
318,0,1,1,0,1,1,1
319,0,0,1,1,0,0,1
320,1,0,1,1,0,0,0
321,0,1,1,0,1,1,1
322,0,1,1,1,0,1,0
323,0,1,0,0,0,1,0
324,0,1,0,0,1,1,0
325,1,1,1,1,1,1,1
326,1,1,0,0,0,1,0
327,0,1,1,1,1,1,1
328,0,1,1,1,1,1,0
329,1,1,0,0,0,1,0
331,0,1,1,0,1,1,1
332,0,1,1,1,0,1,0
333,0,0,1,1,0,0,1
334,1,1,0,0,0,1,0
335,0,1,0,0,1,1,0
336,0,1,1,1,1,1,1
337,1,1,0,0,0,1,1
338,0,1,0,0,0,1,0
341,1,1,1,0,0,1,0
342,1,1,0,0,0,1,0
343,0,0,1,1,0,0,0
344,0,1,1,0,1,1,0
345,1,1,0,0,0,1,1
347,1,0,0,1,0,0,0
348,1,1,0,0,0,1,0
349,0,1,0,0,1,1,1
350,1,0,1,1,0,0,1
351,0,1,1,1,1,1,1
353,0,0,1,1,0,0,1
354,1,1,1,0,0,1,1
355,0,1,1,0,1,1,1
356,0,0,1,1,0,0,0
358,1,1,0,0,0,1,0
359,0,1,1,1,0,1,1
360,1,1,0,0,0,1,0
361,0,1,0,0,0,1,0
362,1,0,1,1,0,0,1
363,1,1,0,0,0,1,0
364,0,1,1,0,0,1,0
365,0,0,1,1,0,0,1
366,1,0,1,1,0,0,1
367,1,1,0,0,0,1,0
368,1,0,1,1,0,0,0
369,1,1,0,0,0,1,0
371,0,0,1,1,0,0,1
372,0,0,0,0,0,0,1
373,1,1,0,0,0,1,0
374,0,1,0,0,0,1,0
375,0,1,0,0,0,1,0
376,0,1,0,0,1,1,0
377,1,0,0,0,0,0,0
378,0,1,1,1,0,1,1
379,1,1,0,0,0,1,1
381,0,1,1,1,1,1,1
382,0,1,1,0,0,1,1
383,0,1,1,0,0,1,1
384,1,1,1,0,1,1,1
385,1,1,0,0,0,1,1
386,0,1,0,0,1,1,1
387,0,1,1,1,1,1,1
388,0,1,1,1,1,1,0
389,1,1,0,0,0,1,0
390,0,1,0,0,0,1,0
391,0,0,1,1,1,0,0
392,0,1,1,1,1,1,1
393,0,1,1,0,1,1,1
394,0,0,1,1,1,0,1
395,0,1,0,0,0,1,0
396,0,1,1,0,1,1,1
397,1,0,1,1,0,0,1
398,0,1,0,0,0,1,0
399,0,0,1,1,0,0,1
400,1,1,0,0,0,1,0
402,1,1,0,0,0,1,0
403,1,1,0,0,0,1,0
404,1,1,1,0,0,1,1
405,1,1,0,0,0,1,0
407,1,1,0,0,0,1,1
411,1,0,1,0,1,0,1
412,1,0,1,1,0,0,1
414,0,1,0,0,0,1,0
415,1,1,0,0,0,1,0
416,1,1,0,0,0,1,1
417,0,1,0,0,0,1,0
418,0,1,0,0,0,1,1
419,1,1,0,0,0,1,0
420,0,1,1,0,0,1,0
421,1,1,0,0,0,1,1
424,0,1,1,0,1,1,1
425,1,1,1,0,0,1,0
426,1,1,0,0,0,1,0
427,1,1,0,0,0,1,0
428,1,1,0,0,0,1,0
430,0,1,0,0,0,1,0
431,1,1,0,0,0,1,0
434,0,1,0,0,0,1,0
435,0,1,0,0,1,1,0
437,0,1,1,0,1,1,1
438,0,1,1,0,1,1,1
439,1,0,0,0,0,0,0
440,1,1,1,0,0,1,1
441,0,1,1,0,0,1,0
442,0,0,0,1,0,0,1
443,1,1,0,0,0,1,1
444,1,0,0,0,0,0,0
445,1,0,1,1,0,0,0
446,1,1,0,0,1,1,0
447,0,1,0,0,0,1,1
448,0,1,0,0,0,1,0
449,0,1,0,1,1,1,1
450,1,1,0,0,0,1,1
451,1,0,0,1,0,0,1
453,1,1,0,0,0,1,0
455,0,1,1,0,0,1,0
456,0,1,1,1,1,1,1
457,1,0,1,1,1,0,1
459,1,1,0,0,0,1,0
460,0,1,1,1,1,1,1
462,1,1,1,0,0,1,1
463,0,1,0,0,0,1,0
464,1,0,0,0,0,0,0
465,0,1,1,0,1,1,0
466,0,1,1,0,1,1,0
467,0,1,1,0,0,1,0
469,0,1,0,0,0,1,1
470,0,0,1,1,0,0,1
471,1,1,0,0,0,1,0
472,0,0,1,1,0,0,1
473,0,1,0,0,0,1,0
474,0,1,0,0,0,1,0
475,1,1,1,0,0,1,0
476,0,1,1,1,1,1,1
477,0,1,0,0,0,1,0
478,0,0,1,1,0,0,0
479,1,1,0,0,0,1,1
480,1,1,0,0,1,1,0
482,0,1,0,1,1,1,1
483,1,1,0,1,1,1,0
484,0,1,0,0,1,1,1
485,1,1,0,0,0,1,0
486,0,1,1,1,1,1,0
488,0,1,0,0,0,1,0
490,1,1,0,0,0,1,1
491,1,1,0,0,1,1,1
492,1,1,0,0,0,1,1
493,1,1,0,0,0,1,0
494,0,1,1,1,1,1,1
495,1,0,0,0,0,0,0
496,1,0,0,1,0,0,0
500,0,1,0,0,0,1,0
501,1,0,1,1,0,0,0
502,0,1,0,0,0,1,0
505,1,0,1,1,0,0,0
506,0,0,0,1,0,0,0
507,0,1,1,0,0,1,1
508,0,1,1,1,0,1,1
509,0,1,0,0,0,1,0
510,0,0,1,1,1,0,1
511,0,1,0,0,0,1,0
513,0,1,1,0,0,1,0
514,1,1,1,0,1,1,1
515,1,1,0,0,0,1,0
516,1,1,0,0,0,1,0
517,0,1,1,1,1,1,1
518,1,1,0,0,0,1,0
519,0,0,1,1,0,0,1
520,0,1,1,0,0,1,1
521,1,1,0,0,0,1,0
522,1,1,0,0,0,1,1
523,0,1,0,0,1,1,0
524,0,1,0,0,1,1,1
525,1,0,1,1,0,0,0
526,0,0,1,1,0,0,0
527,1,0,1,1,0,0,1
528,0,1,0,0,0,1,0
529,0,1,0,0,0,1,0
530,0,1,1,0,1,1,1
532,0,0,1,1,0,0,1
533,1,1,1,0,0,1,1
534,1,1,1,1,1,1,0
535,1,1,1,0,0,1,0
536,1,0,1,1,0,0,1
537,0,1,0,0,0,1,0
538,0,1,1,1,1,1,1
539,1,1,0,0,0,1,1
541,0,1,0,0,0,1,1
542,1,1,0,0,0,1,1
543,0,0,0,1,0,0,0
544,0,0,1,1,0,0,0
545,0,1,0,0,0,1,0
546,0,1,1,0,1,1,1
547,0,1,1,0,1,1,0
548,1,1,1,0,0,1,0
549,1,1,0,0,0,1,1
550,0,1,1,1,0,1,1
551,0,0,0,1,0,0,1
552,0,1,1,0,1,1,1
553,1,1,0,0,0,1,1
554,0,1,1,1,1,1,1
555,0,1,1,1,1,1,0
556,0,0,1,1,0,0,0
557,0,1,1,0,0,1,1
559,0,1,0,0,0,1,1
560,0,1,0,0,0,1,0
561,0,1,0,0,0,1,0
562,1,1,0,0,0,1,0
564,0,0,1,1,0,0,0
565,0,1,0,0,1,1,0
568,0,1,0,0,0,1,0
569,1,1,0,0,0,1,0
570,0,1,0,0,0,1,0
571,0,1,1,0,0,1,1
572,0,1,1,1,1,1,1
573,0,0,1,1,0,0,0
574,1,1,0,0,0,1,0
575,1,1,1,0,1,1,1
577,0,0,1,1,0,0,1
578,0,1,0,0,0,1,0
580,1,1,0,0,0,1,1
581,0,1,1,0,1,1,0
582,0,1,1,0,0,1,0
583,0,1,1,1,1,1,1
584,1,1,0,0,0,1,0
585,0,1,0,0,0,1,1
586,1,1,1,0,0,1,1
587,0,1,1,0,1,1,1
588,0,1,0,0,0,1,0
589,0,0,1,0,0,0,0
590,0,1,0,0,0,1,0
591,0,1,0,0,0,1,0
592,0,1,0,1,1,1,0
593,0,1,1,0,1,1,1
594,0,1,1,1,1,1,1
595,1,1,0,0,0,1,0
596,1,1,0,0,1,1,1
597,1,1,0,0,0,1,0
598,0,1,0,0,0,1,0
600,1,1,1,0,0,1,0
601,0,0,1,0,0,0,1
602,0,1,1,1,1,1,1
603,0,1,0,0,0,1,0
604,0,0,1,1,0,0,0
605,1,1,0,0,0,1,1
606,1,1,0,0,0,1,0
607,1,1,0,0,0,1,1
609,1,0,0,1,0,0,0
610,1,1,0,0,0,1,1
611,1,1,0,0,0,1,0
612,1,0,0,1,0,0,0
614,0,0,1,1,0,0,0
615,1,1,0,0,0,1,0
616,1,0,0,1,0,0,1
617,0,1,0,0,0,1,1
618,0,1,1,1,0,1,1
619,0,1,1,0,0,1,0
620,0,0,1,1,1,0,1
621,0,0,1,1,0,0,0
622,0,1,0,0,0,1,0
623,0,0,0,0,0,0,0
624,0,1,1,1,1,1,0
625,0,1,1,0,1,1,1
626,0,0,0,0,0,0,0
627,1,0,1,1,0,0,0
629,1,1,1,1,1,1,1
630,0,0,1,1,0,0,1
631,1,1,0,0,0,1,0
632,0,1,1,1,1,1,1
633,0,1,1,1,0,1,0
634,0,1,0,0,1,1,0
635,0,1,1,0,1,1,0
636,0,1,1,0,0,1,0
637,0,0,1,1,0,0,1
638,0,1,1,0,0,1,0
639,0,0,1,1,0,0,1
640,0,1,1,1,0,1,1
641,0,1,1,0,1,1,1
644,1,0,1,1,0,0,1
645,0,0,0,0,0,0,0
647,0,1,0,0,0,1,0
648,0,0,1,1,0,0,0
649,0,1,1,0,1,1,1
650,0,1,1,1,1,1,0
652,0,1,1,1,0,1,1
653,0,1,0,0,0,1,0
656,0,1,0,0,0,1,0
657,0,1,1,0,1,1,1
658,1,1,0,0,0,1,0
659,1,1,0,0,0,1,0
660,0,1,0,0,0,1,0
661,0,1,1,0,0,1,0
662,1,0,0,1,0,0,1
663,1,0,1,1,0,0,1
664,1,0,0,1,0,0,1
665,0,1,1,1,1,1,0
666,1,1,1,0,0,1,0
668,0,1,1,0,0,1,0
669,1,1,0,0,0,1,0
670,0,0,1,1,0,0,1
671,1,1,0,0,0,1,0
672,0,0,1,0,0,0,1
673,0,1,1,1,1,1,1
675,0,1,0,0,0,1,0
677,1,0,0,1,0,0,0
678,0,0,1,0,0,0,1
679,0,1,0,0,0,1,0
681,1,1,1,1,0,1,0
682,0,1,0,0,0,1,1
683,0,1,0,0,0,1,0
684,0,1,0,0,0,1,0
686,0,1,1,1,1,1,1
687,0,0,0,0,0,0,1
688,0,1,1,0,1,1,0
689,0,0,0,0,0,0,0
690,1,1,0,0,1,1,0
691,0,1,1,1,1,1,1
692,0,1,1,0,0,1,0
693,1,1,0,0,0,1,1
694,0,1,1,1,1,1,1
695,0,1,1,1,1,1,0
696,1,1,0,0,0,1,1
698,1,1,0,0,0,1,0
699,1,1,0,1,0,1,0
700,0,1,1,1,0,1,1
701,0,0,0,0,0,0,0
702,1,1,0,0,0,1,0
703,0,1,1,1,1,1,1
706,0,1,1,0,1,1,0
707,0,1,1,1,0,1,1
708,0,1,1,1,1,1,1
709,0,0,1,1,0,0,1
710,0,1,1,0,1,1,1
711,1,1,0,0,1,1,1
712,0,1,1,1,0,1,1
713,0,1,0,0,0,1,0
714,1,1,0,0,0,1,0
715,0,1,0,1,0,1,1
716,0,1,0,1,0,1,0
717,0,1,1,0,1,1,1
719,1,1,0,0,0,1,0
720,0,0,1,1,0,0,1
721,1,1,1,0,0,1,1
722,1,1,0,0,0,1,1
723,0,0,1,1,0,0,0
724,0,0,1,1,0,0,1
725,1,0,0,0,0,0,1
726,0,1,1,1,0,1,1
727,1,1,0,0,0,1,0
728,0,0,1,0,1,0,1
729,1,1,0,0,0,1,0
730,1,1,0,0,0,1,0
731,0,0,1,1,1,0,0
732,1,0,1,1,0,0,0
733,0,0,0,1,0,0,1
734,0,1,1,0,1,1,0
735,0,1,0,0,1,1,1
736,1,0,1,1,0,0,0
737,0,1,1,1,0,1,1
738,0,1,1,1,1,1,1
739,0,0,0,1,0,0,0
740,0,1,1,1,1,1,1
742,0,1,0,0,0,1,0
743,1,1,0,0,0,1,0
744,0,1,0,0,0,1,0
745,0,0,1,1,0,0,0
746,0,1,0,0,0,1,0
747,1,0,1,1,0,0,1
748,1,1,0,0,0,1,0
749,0,0,1,1,1,0,1
751,0,1,0,0,0,1,0
752,1,1,0,0,0,1,0
753,0,1,1,0,0,1,0
755,0,1,0,0,0,1,0
756,1,0,0,1,0,0,1
757,0,1,1,0,0,1,0
758,1,1,0,0,0,1,1
759,0,1,1,0,0,1,0
761,0,1,1,1,1,1,1
762,1,1,1,1,0,1,1
763,1,1,0,0,0,1,1
766,0,1,1,0,0,1,1
767,0,1,0,0,0,1,1
768,0,1,0,0,1,1,1
770,1,1,0,0,0,1,0
771,0,1,0,0,0,1,1
772,1,1,0,0,0,1,0
773,1,1,0,0,0,1,0
774,1,0,0,0,0,0,0
777,0,1,1,0,1,1,1
778,0,0,1,1,0,0,1
779,0,1,0,0,0,1,1
780,0,1,0,0,0,1,0
781,1,1,1,0,0,1,0
782,0,1,0,0,0,1,1
783,1,1,0,0,0,1,1
784,0,1,0,0,0,1,1
785,0,0,1,1,0,0,1
786,0,1,1,1,1,1,1
787,0,1,1,0,0,1,0
788,1,1,0,0,0,1,0
789,0,1,0,0,0,1,0
790,0,1,1,1,1,1,1
791,0,1,0,0,0,1,0
795,1,1,0,0,0,1,0
797,0,1,1,1,1,1,1
798,0,0,1,1,0,0,0
799,0,1,1,1,1,1,1
801,1,1,1,0,0,1,0
802,0,0,1,1,0,0,0
803,0,1,0,0,0,1,1
804,0,0,1,1,1,0,1
805,1,1,1,1,0,1,0
806,1,0,0,1,0,0,0
807,0,1,1,0,0,1,1
808,0,1,1,0,0,1,1
809,0,1,1,1,1,1,1
810,1,1,0,0,0,1,0
811,1,1,0,0,1,1,0
812,1,0,0,1,0,0,0
813,1,0,1,1,0,0,1
814,0,1,0,0,0,1,0
815,0,1,1,1,1,1,1
816,1,0,0,1,0,0,0
818,0,0,1,1,0,0,1
820,0,1,1,0,1,1,1
821,0,1,1,1,1,1,1
822,0,1,1,0,0,1,1
823,1,0,1,1,0,0,1
824,0,1,0,0,0,1,1
825,0,0,0,1,0,0,0
826,0,1,0,0,1,1,1
827,0,1,0,0,0,1,0
828,0,0,1,1,1,0,0
829,0,1,0,0,0,1,0
830,1,1,1,1,1,1,1
831,0,0,1,1,0,0,1
833,0,1,0,0,0,1,1
834,0,1,0,0,0,1,0
835,0,0,1,1,0,0,1
836,1,1,0,0,1,1,0
837,0,1,1,1,1,1,1
838,1,1,0,0,0,1,0
839,0,0,1,1,0,0,1
840,0,0,0,0,0,0,0
842,0,1,0,0,0,1,0
843,0,1,1,0,1,1,1
844,0,1,0,0,1,1,0
846,1,0,1,1,0,0,0
847,0,0,1,1,0,0,0
848,0,1,0,0,1,1,0
852,0,1,1,0,0,1,0
853,0,1,1,0,0,1,0
855,1,1,0,0,1,1,0
856,0,1,1,1,0,1,0
857,0,1,1,1,0,1,0
858,0,1,1,0,1,1,1
859,0,1,1,1,1,1,1
860,0,1,1,0,0,1,0
861,0,1,1,1,1,1,1
862,1,1,0,0,0,1,0
865,0,1,0,0,0,1,0
866,1,0,0,1,0,0,0
869,0,1,0,0,1,1,0
870,0,1,1,0,1,1,1
872,0,1,1,1,1,1,1
873,1,1,0,0,0,1,0
874,0,1,0,1,0,1,0
875,0,1,0,0,0,1,1
876,0,1,1,1,1,1,1
877,0,1,0,0,0,1,0
878,1,1,0,0,0,1,0
879,1,1,0,0,1,1,0
881,1,1,0,0,0,1,0
882,0,1,1,1,0,1,1
883,0,1,0,0,0,1,1
884,1,1,0,0,0,1,0
885,0,0,1,1,0,0,0
886,0,1,1,0,1,1,1
887,0,1,0,0,0,1,1
888,0,1,0,0,0,1,0
889,1,1,0,0,0,1,0
890,1,1,0,0,0,1,1
891,0,1,0,0,0,1,0
892,0,1,1,0,0,1,1
894,0,1,1,1,0,1,0
895,0,1,1,1,0,1,1
896,1,1,1,0,1,1,1
897,0,1,0,0,0,1,0
898,0,1,0,0,0,1,0
899,1,1,0,0,0,1,0
901,1,1,0,0,0,1,0
902,0,1,0,0,0,1,0
903,0,1,1,0,1,1,0
904,0,0,1,1,1,0,1
905,0,0,1,1,0,0,1
906,0,1,0,0,0,1,1
907,0,1,1,0,0,1,0
908,1,1,1,0,0,1,0
909,1,1,0,0,0,1,1
910,0,1,1,1,1,1,1
911,1,1,0,0,0,1,0
912,0,1,0,0,0,1,0
913,0,1,0,0,1,1,1
915,1,1,0,0,0,1,0
916,1,1,1,0,0,1,0
917,1,1,0,0,0,1,0
918,0,0,1,1,0,0,1
920,1,1,0,0,0,1,0
921,0,1,0,0,0,1,1
922,1,1,0,0,0,1,0
923,1,1,1,0,1,1,0
924,0,0,0,0,0,0,1
926,0,1,0,0,0,1,0
928,0,1,1,1,1,1,1
929,1,1,1,0,0,1,0
930,1,0,1,1,0,0,1
931,0,1,1,1,1,1,0
932,1,1,1,1,1,1,1
933,0,0,1,1,0,0,1
934,0,0,1,1,0,0,0
935,1,1,0,1,1,1,0
936,0,1,0,0,1,1,0
937,1,1,0,0,0,1,0
938,1,0,1,1,0,0,0
940,0,0,1,0,0,0,1
941,1,1,0,0,0,1,1
